timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9128,5309,9492,1589
100,9119,5316,9499,1587
200,9126,5307,9481,1592
300,9113,5305,9490,1584
400,9127,5308,9496,1588
500,9115,5307,9493,1590
600,9123,5319,9493,1576
700,9118,5314,9489,1599
800,9133,5312,9484,1583
900,9115,5314,9499,1590
1000,9117,5306,9496,1589
1100,9117,5310,9491,1586
1200,9116,5308,9495,1601
1300,9112,5309,9490,1600
1400,9112,5310,9495,1599
1500,9114,5319,9493,1597
1600,9118,5322,9482,1594
1700,9122,5322,9494,1591
1800,9117,5313,9488,1583
1900,9113,5307,9489,1582
2000,9132,5315,9501,1576
2100,9125,5318,9492,1595
2200,9121,5315,9489,1585
2300,9124,5323,9497,1595
2400,9125,5314,9497,1588
2500,9118,5312,9496,1591
2600,9119,5322,9496,1594
2700,9132,5319,9494,1591
2800,9130,5315,9490,1583
2900,9114,5319,9499,1596
3000,9115,5314,9489,1596
3100,9126,5323,9499,1590
3200,9113,5320,9495,1591
3300,9127,5299,9496,1578
3400,9118,5315,9503,1581
3500,9128,5316,9496,1605
3600,9120,5309,9494,1582
3700,9124,5312,9483,1596
3800,9121,5312,9497,1589
3900,9120,5316,9493,1587
4000,9115,5303,9496,1596
4100,9124,5310,9504,1598
4200,9109,5320,9490,1593
4300,9116,5318,9492,1590
4400,9122,5321,9490,1599
4500,9128,5317,9497,1596
4600,9118,5307,9498,1594
4700,9119,5316,9496,1589
4800,9125,5312,9496,1593
4900,9126,5315,9493,1598
5000,9121,5312,9496,1600
5100,9128,5318,9487,1603
5200,9127,5315,9496,1577
5300,9124,5319,9503,1590
5400,9122,5320,9501,1585
5500,9125,5323,9499,1587
5600,9131,5312,9488,1583
5700,9116,5320,9492,1590
5800,9121,5314,9503,1599
5900,9123,5309,9505,1593
6000,9121,5315,9493,1595
6100,9125,5327,9496,1601
6200,9133,5321,9503,1596
6300,9118,5322,9491,1597
6400,9118,5317,9497,1597
6500,9119,5314,9493,1592
6600,9121,5321,9495,1582
6700,9126,5314,9499,1589
6800,9103,5317,9487,1597
6900,9119,5311,9501,1601
7000,9119,5318,9491,1591
7100,9135,5307,9496,1606
7200,9121,5306,9495,1595
7300,9115,5307,9494,1587
7400,9130,5313,9500,1583
7500,9122,5327,9489,1599
7600,9126,5319,9497,1592
7700,9133,5319,9490,1600
7800,9118,5314,9482,1596
7900,9123,5314,9494,1592
8000,9133,5314,9491,1593
8100,9110,5306,9493,1600
8200,9116,5317,9497,1588
8300,9125,5312,9493,1593
8400,9117,5316,9496,1604
8500,9125,5318,9507,1599
8600,9126,5317,9491,1599
8700,9124,5314,9485,1594
8800,9117,5317,9487,1591
8900,9127,5319,9490,1580
9000,9122,5318,9498,1596
9100,9126,5317,9490,1603
9200,9124,5319,9491,1597
9300,9122,5320,9490,1601
9400,9122,5313,9493,1598
9500,9114,5315,9491,1592
9600,9133,5318,9489,1594
9700,9122,5319,9495,1593
9800,9120,5320,9497,1597
9900,9134,5311,9488,1598
