timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8927,5444,9370,8981
100,8925,5442,9359,8992
200,8925,5446,9357,8976
300,8914,5437,9360,8995
400,8932,5443,9360,8977
500,8926,5439,9365,8986
600,8919,5446,9355,8988
700,8926,5450,9353,8991
800,8922,5444,9361,8987
900,8930,5442,9360,8992
1000,8920,5451,9364,8997
1100,8931,5456,9367,8995
1200,8927,5450,9361,8995
1300,8931,5449,9363,8998
1400,8925,5441,9360,9000
1500,8928,5451,9362,8999
1600,8929,5445,9360,9004
1700,8929,5453,9362,9004
1800,8927,5446,9364,9006
1900,8931,5447,9355,9000
2000,8925,5444,9366,9010
2100,8926,5444,9359,9005
2200,8931,5444,9363,9022
2300,8920,5442,9362,9006
2400,8931,5443,9357,9004
2500,8926,5452,9358,9003
2600,8926,5445,9355,9012
2700,8926,5454,9363,9011
2800,8923,5441,9359,9015
2900,8925,5447,9358,9013
3000,8923,5448,9351,9011
3100,8909,5443,9360,9015
3200,8931,5446,9359,9007
3300,8934,5449,9361,9025
3400,8930,5446,9356,9023
3500,8928,5449,9369,9021
3600,8916,5442,9352,9013
3700,8922,5450,9368,9021
3800,8918,5448,9363,9025
3900,8916,5447,9358,9022
4000,8928,5449,9355,9025
4100,8927,5445,9351,9038
4200,8924,5446,9358,9022
4300,8914,5449,9360,9018
4400,8927,5445,9360,9018
4500,8930,5447,9355,9028
4600,8921,5447,9353,9036
4700,8922,5445,9357,9016
4800,8924,5443,9361,9021
4900,8927,5448,9356,9033
5000,8924,5449,9361,9042
5100,8923,5448,9372,9033
5200,8930,5447,9355,9027
5300,8923,5438,9357,9030
5400,8926,5443,9353,9035
5500,8922,5439,9361,9038
5600,8923,5448,9356,9034
5700,8935,5446,9363,9041
5800,8909,5443,9359,9026
5900,8923,5451,9363,9026
6000,8923,5446,9362,9025
6100,8919,5445,9359,9027
6200,8924,5457,9358,9030
6300,8926,5454,9354,9037
6400,8929,5448,9358,9032
6500,8926,5449,9356,9029
6600,8921,5450,9359,9033
6700,8919,5444,9353,9038
6800,8923,5450,9357,9029
6900,8931,5444,9350,9040
7000,8930,5444,9358,9032
7100,8930,5450,9353,9040
7200,8926,5455,9348,9027
7300,8923,5446,9358,9041
7400,8925,5453,9361,9041
7500,8919,5444,9363,9030
7600,8925,5448,9353,9036
7700,8923,5439,9351,9036
7800,8926,5452,9353,9037
7900,8923,5443,9346,9043
8000,8918,5440,9355,9045
8100,8936,5440,9354,9039
8200,8918,5450,9350,9036
8300,8921,5448,9344,9027
8400,8924,5451,9351,9044
8500,8926,5445,9349,9038
8600,8911,5449,9351,9033
8700,8927,5448,9350,9032
8800,8929,5452,9350,9045
8900,8929,5442,9344,9042
9000,8919,5448,9349,9047
9100,8927,5450,9351,9048
9200,8924,5446,9348,9042
9300,8928,5453,9355,9043
9400,8912,5443,9354,9043
9500,8927,5445,9348,9039
9600,8924,5449,9347,9043
9700,8921,5450,9349,9047
9800,8922,5442,9350,9043
9900,8917,5448,9345,9049
