timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,8889,5507,8985,3070
100,8894,5504,8980,3062
200,8882,5503,8984,3066
300,8873,5506,8982,3051
400,8868,5514,8987,3062
500,8881,5502,8982,3051
600,8886,5502,8985,3053
700,8897,5507,8982,3051
800,8872,5512,8981,3069
900,8881,5497,8985,3061
1000,8906,5503,8990,3051
1100,8897,5496,8980,3070
1200,8890,5497,8984,3059
1300,8888,5497,8986,3064
1400,8871,5506,8985,3051
1500,8886,5498,8994,3061
1600,8872,5500,8987,3049
1700,8883,5506,8982,3057
1800,8887,5499,8988,3069
1900,8877,5505,8984,3066
2000,8877,5507,8985,3051
2100,8892,5499,8987,3048
2200,8892,5501,8984,3051
2300,8880,5500,8981,3058
2400,8889,5505,8985,3054
2500,8893,5510,8988,3059
2600,8875,5502,8984,3042
2700,8882,5501,8988,3047
2800,8898,5506,8992,3053
2900,8888,5507,8982,3040
3000,8886,5503,8984,3051
3100,8876,5500,8985,3052
3200,8891,5498,8984,3043
3300,8876,5510,8985,3049
3400,8897,5504,8983,3051
3500,8874,5499,8990,3045
3600,8869,5506,8987,3054
3700,8869,5500,8987,3045
3800,8891,5498,8995,3042
3900,8875,5501,8981,3037
4000,8872,5501,8985,3047
4100,8877,5505,8989,3039
4200,8885,5504,8988,3047
4300,8889,5503,8980,3039
4400,8877,5502,8987,3046
4500,8900,5498,8986,3044
4600,8887,5503,8984,3040
4700,8884,5501,8989,3040
4800,8880,5506,8984,3049
4900,8873,5504,8988,3038
5000,8873,5499,8996,3041
5100,8878,5507,8983,3045
5200,8882,5503,8991,3042
5300,8886,5503,8981,3033
5400,8886,5495,8985,3051
5500,8887,5497,8987,3043
5600,8878,5502,8979,3039
5700,8876,5507,8977,3033
5800,8886,5501,8978,3046
5900,8867,5498,8983,3037
6000,8885,5504,8980,3040
6100,8877,5499,8986,3035
6200,8878,5499,8971,3032
6300,8869,5496,8983,3056
6400,8876,5500,8977,3040
6500,8892,5503,8994,3029
6600,8873,5502,8990,3034
6700,8880,5506,8985,3035
6800,8887,5507,8984,3032
6900,8885,5505,8987,3021
7000,8882,5495,8991,3031
7100,8876,5506,8982,3043
7200,8876,5509,8983,3026
7300,8889,5503,8984,3028
7400,8888,5500,8984,3035
7500,8901,5514,8980,3033
7600,8872,5501,8985,3039
7700,8876,5506,8988,3057
7800,8890,5500,8975,3029
7900,8906,5506,8986,3028
8000,8893,5499,8982,3030
8100,8874,5501,8985,3035
8200,8872,5510,8983,3033
8300,8879,5502,8984,3021
8400,8871,5499,8980,3029
8500,8887,5495,8980,3022
8600,8883,5506,8986,3028
8700,8879,5507,8987,3020
8800,8873,5501,8981,3029
8900,8874,5504,8984,3034
9000,8865,5504,8990,3028
9100,8882,5502,8994,3027
9200,8892,5505,8989,3028
9300,8869,5510,8986,3027
9400,8894,5504,8982,3037
9500,8871,5501,8995,3022
9600,8878,5509,8986,3028
9700,8887,5500,8988,3025
9800,8883,5508,8983,3021
9900,8896,5504,8989,3022
