timestamp,ph_raw,orp_raw,turbidity_raw,tds_raw
0,9161,5396,9040,1987
100,9170,5395,9045,1994
200,9162,5394,9042,1986
300,9154,5397,9038,1990
400,9166,5391,9046,1997
500,9171,5392,9042,1991
600,9159,5387,9041,1994
700,9169,5402,9045,1981
800,9152,5395,9033,1986
900,9168,5394,9048,1989
1000,9172,5394,9043,1988
1100,9165,5394,9043,1997
1200,9158,5390,9045,1977
1300,9176,5389,9043,1986
1400,9167,5393,9040,1991
1500,9169,5396,9040,1998
1600,9170,5394,9035,2011
1700,9167,5393,9043,1993
1800,9160,5397,9043,1997
1900,9167,5388,9047,1995
2000,9160,5385,9042,1983
2100,9169,5399,9046,1976
2200,9174,5393,9038,1990
2300,9178,5397,9053,1983
2400,9170,5399,9045,1981
2500,9180,5395,9039,1999
2600,9161,5388,9056,1998
2700,9173,5397,9039,1991
2800,9177,5397,9043,1980
2900,9177,5396,9044,1994
3000,9180,5391,9040,1987
3100,9155,5400,9042,1992
3200,9172,5391,9040,1980
3300,9149,5397,9037,1991
3400,9168,5393,9044,1985
3500,9163,5392,9039,2003
3600,9181,5391,9044,1991
3700,9167,5399,9041,1992
3800,9180,5395,9047,1998
3900,9168,5388,9043,1991
4000,9178,5390,9045,1994
4100,9164,5391,9043,1992
4200,9164,5391,9039,1990
4300,9168,5394,9045,1992
4400,9169,5391,9029,1995
4500,9168,5398,9041,1985
4600,9164,5395,9040,2008
4700,9172,5397,9043,1993
4800,9165,5393,9041,2000
4900,9173,5400,9039,1980
5000,9152,5395,9049,1996
5100,9170,5393,9044,2001
5200,9168,5390,9041,1995
5300,9169,5391,9047,1993
5400,9163,5391,9045,2000
5500,9165,5395,9037,2006
5600,9174,5391,9045,1993
5700,9187,5390,9035,1987
5800,9169,5387,9043,1993
5900,9165,5396,9046,1998
6000,9171,5398,9047,1988
6100,9171,5393,9035,2008
6200,9177,5402,9042,1993
6300,9159,5400,9045,1995
6400,9169,5392,9041,1994
6500,9161,5396,9041,1993
6600,9165,5399,9035,1999
6700,9170,5388,9045,1993
6800,9172,5395,9038,1994
6900,9168,5386,9047,1990
7000,9170,5398,9040,1984
7100,9159,5401,9036,2008
7200,9166,5393,9038,2001
7300,9181,5396,9026,1984
7400,9174,5399,9042,1995
7500,9167,5391,9035,1988
7600,9165,5401,9041,1999
7700,9173,5393,9030,1989
7800,9169,5396,9032,1995
7900,9166,5394,9041,1993
8000,9171,5405,9043,1989
8100,9165,5395,9050,1992
8200,9175,5404,9041,1991
8300,9168,5392,9045,1987
8400,9169,5404,9050,1992
8500,9167,5392,9039,1996
8600,9166,5395,9032,1992
8700,9167,5398,9039,1994
8800,9175,5390,9029,1985
8900,9168,5405,9034,1983
9000,9170,5404,9041,1984
9100,9167,5394,9040,1989
9200,9177,5396,9034,1990
9300,9169,5396,9045,1995
9400,9171,5395,9028,1984
9500,9154,5394,9035,1997
9600,9168,5393,9025,2010
9700,9179,5392,9035,1992
9800,9172,5389,9032,1991
9900,9160,5396,9038,1991
